step,episode_discounted_reward,episode_reward,episode_time,init_q,running_discounted_reward,running_reward,running_time
13600,63.0936279296875,97.71639251708984,277.0,555.4146728515625,-125.49555969238281,-142.4513702392578,325.4468688964844
13700,-292.5743103027344,-259.8523864746094,471.0,559.3920288085938,-133.84950256347656,-148.32142639160156,332.7245178222656
13800,114.44206237792969,119.03497314453125,38.0,563.3661499023438,-125.24579620361328,-137.68490600585938,324.2713928222656
13900,55.86872482299805,111.6745834350586,275.0,664.2409057617188,-87.20439147949219,-93.48636627197266,295.66314697265625
14000,63.64826965332031,73.18165588378906,76.0,666.4636840820312,-71.55409240722656,-76.43096160888672,273.4384765625
14100,-210.18362426757812,-248.9520721435547,460.0,666.4636840820312,-78.48556518554688,-85.05702209472656,282.7665710449219
14200,-177.2324676513672,-244.919189453125,456.0,666.4636840820312,-83.42291259765625,-93.05012512207031,291.42822265625
14300,52.233421325683594,68.59596252441406,286.0,666.4636840820312,-82.2271728515625,-93.03343200683594,299.8289794921875
14400,192.98098754882812,248.59666442871094,214.0,666.4636840820312,-56.53912353515625,-61.821693420410156,291.2706604003906
14500,-163.15696716308594,-233.00193786621094,444.0,708.9219970703125,-61.87001419067383,-70.38070678710938,298.9071350097656
14600,225.3955841064453,279.4251403808594,175.0,708.9219970703125,-47.50673294067383,-52.89041519165039,292.7117614746094
14700,-78.90776824951172,-74.65464782714844,156.0,736.1522827148438,-55.955326080322266,-63.69144058227539,288.1044921875
14800,-264.1462097167969,-301.72564697265625,513.0,736.1522827148438,-66.3648681640625,-75.59314727783203,299.3492736816406
14900,-250.53738403320312,-286.81732177734375,498.0,736.1522827148438,-75.57349395751953,-86.15435791015625,309.28179931640625
15000,-120.3250961303711,-222.00393676757812,433.0,736.1522827148438,-77.81107330322266,-92.94683837890625,315.46771240234375
15100,162.00209045410156,176.4970245361328,217.0,736.1522827148438,-57.48285675048828,-67.95254516601562,307.7671203613281
15200,-103.79791259765625,-198.89720153808594,450.0,768.56103515625,-44.78664779663086,-56.956993103027344,307.7173156738281
15300,120.14974975585938,125.10977172851562,44.0,768.56103515625,-30.5518741607666,-40.845130920410156,292.7873840332031
15400,-170.90597534179688,-249.90724182128906,461.0,793.7069091796875,-37.569580078125,-51.29823684692383,301.1980285644531
15500,9.56954574584961,-34.22451400756836,349.0,842.8839721679688,-35.212623596191406,-50.444549560546875,303.5881042480469
15600,85.39673614501953,92.13871002197266,61.0,870.363525390625,-30.903833389282227,-48.283714294433594,296.5132751464844
15700,-37.09812927246094,-28.54405975341797,146.0,893.480224609375,-26.94415283203125,-42.84129333496094,287.49072265625
15800,73.17706298828125,126.54595184326172,252.0,910.0454711914062,-24.54918098449707,-33.34749984741211,288.21038818359375
15900,-208.3440704345703,-305.6708068847656,517.0,910.0454711914062,-33.73892593383789,-46.96366500854492,299.6498718261719
16000,-186.43975830078125,-208.06288146972656,419.0,911.6693725585938,-41.373966217041016,-55.01862335205078,305.61737060546875
16100,-13.828638076782227,-7.1418280601501465,337.0,939.9151000976562,-39.996700286865234,-52.62478256225586,307.1864929199219
16200,321.1640319824219,364.38116455078125,138.0,983.0230102539062,-19.489742279052734,-28.277559280395508,285.1156005859375
16300,65.99942779541016,72.11982727050781,69.0,1012.8994140625,-6.566936016082764,-12.579476356506348,271.31182861328125
16400,-159.9462127685547,-262.8463134765625,474.0,1029.2176513671875,-14.235899925231934,-25.092819213867188,281.44622802734375
16500,-168.96810913085938,-211.9541015625,438.0,1029.2176513671875,-21.972509384155273,-34.435882568359375,289.27392578125
16600,232.20730590820312,267.4560241699219,178.0,1029.2176513671875,-16.670866012573242,-29.011716842651367,291.2972106933594
16700,-46.2288932800293,-36.74249267578125,122.0,1032.7080078125,-6.5659613609313965,-14.276938438415527,269.1390686035156
16800,111.10796356201172,117.09880065917969,44.0,1034.70166015625,-1.1553187370300293,-5.3754706382751465,259.91802978515625
