step,episode_discounted_reward,episode_reward,episode_time,init_q,running_discounted_reward,running_reward,running_time
14600,68.91220092773438,127.67465209960938,271.0,287.2945251464844,-157.30056762695312,-177.83961486816406,323.1600036621094
14700,-286.4283752441406,-296.7754821777344,508.0,287.2945251464844,-163.7569580078125,-183.78640747070312,332.4020080566406
14800,-560.318359375,-670.7943725585938,501.0,287.2945251464844,-183.58502197265625,-208.13681030273438,340.8319091796875
14900,229.07423400878906,240.49803161621094,201.0,293.7420654296875,-168.9322509765625,-193.31008911132812,332.75579833984375
15000,125.82373809814453,171.52891540527344,227.0,293.7420654296875,-154.19444274902344,-175.06813049316406,327.468017578125
15100,-152.61534118652344,-172.59283447265625,190.0,293.7420654296875,-171.92681884765625,-198.77731323242188,327.9823913574219
15200,-110.10302734375,-124.05184936523438,403.0,293.7420654296875,-168.83563232421875,-195.04104614257812,331.7332458496094
15300,-3.016496419906616,5.242488861083984,104.0,293.7420654296875,-145.90524291992188,-166.20980834960938,309.0852966308594
15400,-235.22325134277344,-281.3553466796875,267.0,295.95343017578125,-150.3711395263672,-171.9670867919922,306.9810485839844
15500,-506.6106262207031,-654.9360961914062,461.0,295.95343017578125,-168.18312072753906,-196.1155242919922,314.6819763183594
15600,-212.20106506347656,-236.9800567626953,448.0,295.95343017578125,-170.38401794433594,-198.15875244140625,321.347900390625
15700,-551.1171875,-685.7894897460938,492.0,295.95343017578125,-189.42066955566406,-222.54029846191406,329.8804931640625
15800,160.90492248535156,219.47508239746094,211.0,295.95343017578125,-159.44253540039062,-184.0468292236328,320.8071594238281
15900,-0.17430813610553741,3.9719111919403076,359.0,295.95343017578125,-151.4791259765625,-174.64590454101562,322.716796875
16000,73.02053833007812,79.16265869140625,66.0,295.95343017578125,-146.36529541015625,-165.3899688720703,316.3069152832031
16100,-97.46109008789062,-74.96916961669922,398.0,295.95343017578125,-144.23825073242188,-162.55789184570312,326.02947998046875
16200,141.63580322265625,186.50897216796875,220.0,355.9432067871094,-130.80447387695312,-146.5225830078125,316.1665954589844
16300,-91.49343872070312,-107.05392456054688,385.0,355.9432067871094,-126.21296691894531,-140.9914093017578,311.85784912109375
16400,177.2772979736328,229.46414184570312,205.0,385.91845703125,-99.52301025390625,-109.9236831665039,293.88671875
