step,episode_discounted_reward,episode_reward,episode_time,init_q,running_discounted_reward,running_reward,running_time
15700,184.30624389648438,232.4431610107422,198.0,298.3304748535156,-116.29483032226562,-135.3928985595703,273.4696350097656
15800,-260.8556213378906,-307.3463134765625,273.0,309.308837890625,-124.9135513305664,-145.11402893066406,280.31134033203125
15900,119.39842987060547,128.56483459472656,245.0,313.284912109375,-97.946044921875,-113.1163101196289,274.635986328125
16000,-62.040992736816406,-56.26142501831055,342.0,314.7260437011719,-96.15078735351562,-110.27356719970703,278.0041809082031
16100,199.38612365722656,236.35934448242188,186.0,314.7260437011719,-89.37472534179688,-102.49154663085938,274.11627197265625
16200,31.22089958190918,39.207611083984375,90.0,315.2496643066406,-89.05768585205078,-102.03063201904297,273.4074401855469
16300,-544.2597045898438,-670.8991088867188,477.0,315.2496643066406,-111.81778717041016,-130.47406005859375,283.5870666503906
16400,-245.14096069335938,-258.8812255859375,470.0,315.44091796875,-118.48394775390625,-136.8944091796875,292.90771484375
16500,-20.54676628112793,-11.254462242126465,325.0,315.44091796875,-113.58708953857422,-130.61241149902344,294.5123291015625
16600,-492.2735900878906,-658.920166015625,465.0,315.44091796875,-132.5214080810547,-157.02780151367188,303.0367126464844
16700,-505.27490234375,-618.0189819335938,424.0,315.44091796875,-151.15908813476562,-180.07736206054688,309.0848693847656
16800,-229.36611938476562,-225.9990692138672,437.0,315.5110778808594,-155.06944274902344,-182.37344360351562,315.48065185546875
16900,-552.9083862304688,-666.8902587890625,473.0,315.5110778808594,-174.9613800048828,-206.5992889404297,323.3565979003906
17000,-213.51341247558594,-300.69268798828125,512.0,332.8346252441406,-176.8889923095703,-211.303955078125,332.7887878417969
17100,35.204124450683594,58.6806526184082,291.0,339.2730712890625,-166.28433227539062,-197.8047332763672,330.6993408203125
17200,-189.6045379638672,-225.9960174560547,437.0,339.2730712890625,-167.45034790039062,-199.21429443359375,336.0143737792969
17300,-38.81658172607422,-29.715538024902344,123.0,339.2730712890625,-179.62733459472656,-213.380615234375,332.2979736328125
17400,37.68407440185547,89.63077545166016,281.0,339.2730712890625,-165.46868896484375,-192.94969177246094,331.4764099121094
17500,27.504924774169922,36.20756530761719,89.0,339.2730712890625,-155.17857360839844,-182.35325622558594,323.6524658203125
17600,-69.4997329711914,-58.36015701293945,328.0,339.2730712890625,-150.89462280273438,-176.15359497070312,323.8698425292969
17700,-142.66429138183594,-117.23545837402344,368.0,339.2730712890625,-150.4831085205078,-173.2076873779297,326.07635498046875
